id,InterviewerType,Randomize,S3SS2_1,S3SS2_2,S3SS2_3,S3SS2_4,S3SS2_5,S3SS2_6,S3SS2_7,S3SS2_8,S3SS2_9,S3SS2_10,S3SS2_11,S3SS2_12,S3SS2_13,S3SS2_14,S3SS3_1,S3SS3_2,S3SS3_3,S3SS3_4,S3SS3_5,S3SS3_6,S3SS3_7,S4Q1,white,black,hispanic,timein_yrs
1,0,1,2,2,3,2,1,2,1,4,1,2,3,3,2,2,3,3,2,4,1,4,4,25,1,0,0,.4166667
2,0,1,3,3,1,3,4,2,5,4,1,1,3,2,1,4,1,5,1,1,2,2,3,58,0,0,1,4.5
3,0,1,2,3,2,2,1,4,1,1,1,1,1,2,5,2,2,5,1,1,4,5,1,35,0,0,0,10
4,0,1,2,3,3,,2,3,1,4,1,1,4,3,1,4,2,4,1,3,1,5,4,60,1,0,0,4
5,1,1,5,4,5,1,3,4,3,5,1,1,3,5,5,5,1,3,3,3,1,4,5,56,0,0,1,16
6,1,1,2,3,4,3,3,3,3,3,1,2,3,3,3,4,2,5,3,2,2,3,3,30,1,0,0,3.666667
7,1,1,3,3,4,2,4,3,2,4,1,2,2,1,1,2,1,1,3,5,1,5,5,41,0,1,0,1
8,1,1,3,4,3,2,2,3,1,2,1,1,4,3,3,4,1,5,2,1,2,2,4,49,1,0,0,25
9,1,1,3,3,2,3,3,3,3,2,2,2,3,2,3,3,3,4,3,3,2,2,3,39,1,0,0,10
10,1,1,3,3,2,3,3,2,3,4,2,3,2,4,3,3,3,5,3,3,1,5,4,32,0,0,1,5.166667
11,1,1,3,3,4,4,2,2,2,3,1,1,2,3,2,2,2,2,5,3,4,2,5,42,0,0,1,1
12,1,1,2,3,3,5,3,2,5,4,1,1,1,1,1,2,2,5,3,3,2,4,4,57,0,0,1,13.91667
13,1,1,2,2,2,5,1,1,1,3,1,1,1,2,1,1,1,5,1,2,4,3,5,70,1,0,0,4
14,0,0,3,3,2,4,3,3,1,4,1,1,1,1,1,3,2,4,2,2,3,2,4,53,1,0,0,5.25
15,0,1,2,3,3,2,2,1,1,3,1,1,3,3,,3,3,4,3,3,4,2,3,37,1,0,0,4
16,1,1,3,2,2,3,2,2,5,4,1,3,2,2,1,3,4,1,4,2,3,3,2,54,0,0,1,2
17,0,1,3,3,4,5,4,3,4,5,3,3,3,4,2,4,3,2,3,4,1,3,4,44,0,0,1,1.083333
18,0,1,3,2,1,1,3,3,5,4,2,3,3,3,2,3,1,5,2,2,2,2,2,31,0,0,0,7
19,0,1,3,3,4,2,3,3,2,4,2,2,3,2,2,3,2,3,4,3,2,3,2,44,0,0,0,.25
20,0,1,2,1,3,3,1,2,1,4,1,4,1,1,1,3,1,5,3,2,3,3,4,32,1,0,0,4.166667
21,0,1,4,3,4,2,3,4,3,4,1,1,2,2,1,4,3,2,3,3,1,5,5,35,1,0,0,4
22,0,1,4,3,5,2,3,4,3,4,1,1,3,3,2,5,4,3,3,4,1,4,4,63,1,0,0,8
23,1,1,4,5,3,2,3,3,2,4,3,2,5,4,3,5,3,2,3,4,4,4,3,37,0,0,0,7.75
24,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,3,4,3,2,2,2,2,61,1,0,0,5
25,1,1,3,2,2,2,2,3,2,4,1,1,3,2,4,3,2,5,1,1,2,2,3,43,0,0,0,10
26,1,1,4,3,3,2,3,3,2,3,1,1,3,2,3,4,2,5,2,3,2,2,5,35,1,0,0,3.083333
27,1,1,3,3,4,4,3,2,2,4,1,1,4,3,5,4,3,2,2,3,1,3,4,34,0,0,1,5
28,1,1,2,2,4,5,2,2,3,5,1,1,3,2,2,4,2,5,2,1,2,1,2,31,0,0,1,9.166667
29,1,1,4,4,4,2,4,3,2,5,1,1,4,4,4,5,4,2,3,4,2,4,4,40,1,0,0,4.916667
30,1,1,3,4,3,3,1,3,5,3,1,1,1,1,1,3,3,3,2,2,2,3,3,23,0,0,1,3.416667
31,1,1,1,2,1,5,1,4,3,1,1,1,4,3,3,3,4,3,2,3,2,5,3,31,0,0,0,6
32,0,1,4,4,4,3,4,4,4,4,2,2,4,4,3,4,2,4,3,3,1,4,4,45,0,1,0,8
33,1,1,2,4,5,,3,3,1,5,1,2,4,,4,5,2,5,3,2,3,2,4,49,0,0,0,3.583333
34,0,1,4,4,3,3,4,4,4,4,3,4,4,4,3,4,3,3,4,4,2,3,4,40,1,0,0,22
