id,S3SS1_1,S3SS1_2,S3SS1_3,S3SS1_4,S3SS1_5,S3SS1_6,S3SS1_7,S3SS1_8,S3SS1_9,S3SS1_10,S3SS1_11,S3SS1_12,S3SS1_13,S3SS1_14,S3SS1_15
1,0,1,0,0,0,1,0,1,0,0,1,0,1,1,1
2,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1
3,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
4,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
5,1,0,1,0,0,1,1,1,1,1,0,0,1,1,1
6,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1
7,0,1,0,1,0,1,1,1,1,1,1,1,1,1,1
8,1,1,1,1,0,1,1,0,1,1,1,1,,1,1
9,1,0,1,1,0,0,1,0,1,1,1,1,1,1,1
10,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
11,1,0,0,1,0,1,1,1,0,0,1,1,1,1,1
12,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1
13,1,1,0,0,0,1,0,1,0,0,0,0,1,1,1
14,0,1,0,0,0,1,0,1,0,0,0,0,1,1,1
15,0,1,1,1,0,1,1,1,1,0,1,0,0,1,1
16,1,1,0,0,0,1,0,0,1,1,1,1,0,1,1
17,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1
18,0,1,1,0,0,1,0,1,1,0,0,0,1,1,1
19,1,1,1,1,0,1,1,,1,1,1,1,1,1,1
20,1,1,1,1,0,1,1,,1,1,1,1,,1,1
21,0,1,0,0,0,0,0,0,1,0,0,0,1,1,1
22,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0
23,1,1,1,1,0,0,1,0,1,1,1,1,0,1,1
24,1,1,1,1,,,1,,,1,1,,1,1,1
25,0,1,0,1,1,1,0,1,0,0,0,0,1,1,1
26,0,1,1,1,0,1,1,0,0,1,1,1,1,1,1
27,1,1,1,1,0,1,1,0,1,1,1,1,1,1,1
28,1,1,1,1,0,1,1,0,1,1,1,1,0,1,1
29,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1
30,1,1,1,1,0,1,1,0,0,1,1,1,1,1,1
31,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1
